offence,main_group,subgroup,is_subtotal
Arson,Offences Against Property,Arson,TRUE
Fraud,Offences Against Property,Fraud,TRUE
Fraud by Cheque,Offences Against Property,Fraud,FALSE
Fraud by Computer,Offences Against Property,Fraud,FALSE
Fraud by Credit Card,Offences Against Property,Fraud,FALSE
Identity Fraud,Offences Against Property,Fraud,FALSE
Other Fraud,Offences Against Property,Fraud,FALSE
Handling Stolen Goods,Offences Against Property,Handling Stolen Goods,TRUE
Other Handling Stolen Goods,Offences Against Property,Handling Stolen Goods,FALSE
Possess Property Suspected Stolen,Offences Against Property,Handling Stolen Goods,FALSE
Possess etc. Tainted Property,Offences Against Property,Handling Stolen Goods,FALSE
Receiving Stolen Property,Offences Against Property,Handling Stolen Goods,FALSE
Offences Against Property,Offences Against Property,Offences Against Property,TRUE
Other Property Damage,Offences Against Property,Other Property Damage,TRUE
Other Stealing,Offences Against Property,Other Theft (excl. Unlawful Entry),FALSE
Other Theft (excl. Unlawful Entry),Offences Against Property,Other Theft (excl. Unlawful Entry),TRUE
Shop Stealing,Offences Against Property,Other Theft (excl. Unlawful Entry),FALSE
Stealing from Dwellings,Offences Against Property,Other Theft (excl. Unlawful Entry),FALSE
Vehicles (steal from/enter with intent),Offences Against Property,Other Theft (excl. Unlawful Entry),FALSE
Unlawful Entry With Intent - Dwelling,Offences Against Property,Unlawful Entry,TRUE
Unlawful Entry With Intent - Other,Offences Against Property,Unlawful Entry,FALSE
Unlawful Entry With Intent - Shop,Offences Against Property,Unlawful Entry,FALSE
Unlawful Entry With Violence - Dwelling,Offences Against Property,Unlawful Entry,FALSE
Unlawful Entry Without Violence - Dwelling,Offences Against Property,Unlawful Entry,FALSE
Unlawful Entry,Offences Against Property,Unlawful Entry,TRUE
Unlawful Use of Motor Vehicle,Offences Against Property,Unlawful Use of Motor Vehicle,TRUE
Common Assault',Offences Against the Person,Assault,FALSE
Grievous Assault,Offences Against the Person,Assault,FALSE
Serious Assault,Offences Against the Person,Assault,FALSE
Serious Assault (Other),Offences Against the Person,Assault,FALSE
Assault,Offences Against the Person,Assault,TRUE
Homicide (Murder),Offences Against the Person,Homicide (Murder),TRUE
Attempted Murder,Offences Against the Person,Other Homicide,FALSE
Conspiracy to Murder,Offences Against the Person,Other Homicide,FALSE
Driving Causing Death,Offences Against the Person,Other Homicide,FALSE
Manslaughter (excl. by driving),Offences Against the Person,Other Homicide,FALSE
Manslaughter Unlawful Striking Causing Death,Offences Against the Person,Other Homicide,FALSE
Other Homicide,Offences Against the Person,Other Homicide,TRUE
Coercive Control,Offences Against the Person,Other Offences Against the Person,FALSE
Extortion,Offences Against the Person,Other Offences Against the Person,FALSE
Kidnapping & Abduction etc.,Offences Against the Person,Other Offences Against the Person,FALSE
Life Endangering Acts,Offences Against the Person,Other Offences Against the Person,FALSE
Other Offences Against the Person,Offences Against the Person,Other Offences Against the Person,TRUE
Stalking,Offences Against the Person,Other Offences Against the Person,FALSE
Offences Against the Person,Offences Against the Person,Other Offences Against the Person,TRUE
Armed Robbery,Offences Against the Person,Robbery,FALSE
Unarmed Robbery,Offences Against the Person,Robbery,FALSE
Robbery,Offences Against the Person,Robbery,TRUE
Other Sexual Offences,Offences Against the Person,Sexual Offences,FALSE
Rape and Attempted Rape,Offences Against the Person,Sexual Offences,FALSE
Sexual Offences,Offences Against the Person,Sexual Offences,TRUE
Breach Domestic Violence Protection Order,Other Offences,Breach of DVO,TRUE
Other Drug Offences,Other Offences,Drug Offences,FALSE
Possess Drugs,Other Offences,Drug Offences,FALSE
Produce Drugs,Other Offences,Drug Offences,FALSE
Sell Supply Drugs,Other Offences,Drug Offences,FALSE
